new_la_code,la_name,imd,ehfs_sp_2011,ehfs_sp_2012,ehfs_sp_2013,ehfs_sp_2014,ehfs_sp_2015,ehfs_sp_2016,ehfs_sp_2017,ehfs_sp_2018,ehfs_sp_2019,cin_2011,cin_2012,cin_2013,cin_2014,cin_2015,cin_2016,cin_2017,cin_2018,cin_2019,region,inr_ldn
E06000011,East Riding of Yorkshire,15.79,5.836417632448908,5.636359798338767,5.615606783752476,5.474117706351726,5.522260598032811,5.55245558196447,5.488069580832519,5.497618943376676,5.408784819574008,5.8562173976999565,5.8085027854266045,5.7412067033022005,5.717356594683319,5.676411277860069,5.741078259399898,5.709764546333749,5.765128404894608,5.659795755451088,Yorkshire and the Humber,0
E06000010,Kingston upon Hull City of,41.23,6.531533389343614,6.2136075980886085,5.977137401961936,5.98111113502849,5.853753001232496,5.742522302972132,5.640096922970068,5.507564812670135,5.5602199860123305,6.296188085414615,6.419815759002847,6.204214269238176,6.3657829262193095,6.527080339681191,6.388057076712548,6.438231534573252,6.501860078397462,6.339671236375865,Yorkshire and the Humber,0
E08000034,Kirklees,23.96,6.162071926719362,5.777373646625042,5.7558371457895685,5.810422171812408,5.83120776291144,5.691068662236126,5.643820133483518,5.435554384853122,5.247813234374268,5.768945800562614,5.566854845152132,5.633181167472654,5.6240175061873385,5.582367852765768,5.543222409643759,5.784747833479305,5.508010870137842,5.5015438840218875,Yorkshire and the Humber,0
E08000035,Leeds,26.62,6.360490403543244,6.097377410193878,5.9707515055104405,5.880840201775056,5.7944455095534435,5.279083577432737,5.435074799902897,5.418142759616385,5.413652965227941,6.009795503792706,5.948922323842307,6.034068952190328,6.0910836121366945,5.993213017642099,5.861355861760962,5.911067610035953,5.871018594032095,5.784962996312293,Yorkshire and the Humber,0
E06000012,North East Lincolnshire,30.9,6.729286291503672,6.697145352605213,6.701554878398147,6.556025231721925,6.448414597904655,6.088568571555965,6.284992001975282,6.281294311617222,6.225112731067277,6.153795959025435,6.139561224099281,6.436118316573723,6.536691597591305,6.33806390234911,6.385531610263777,6.358362062066888,6.432393319491715,6.516015545492449,Yorkshire and the Humber,0
E06000013,North Lincolnshire,21.36,6.220391343177919,5.880030066661677,5.878771659638691,5.877287502045583,5.784809313298575,5.771129548115811,5.741559838990231,5.608922193632241,5.647176849177081,5.481055503227208,5.402542237605569,5.265484209452796,5.38357721049886,5.653541258219454,5.760477818332746,5.542047551470635,5.66922553584749,5.802843188165499,Yorkshire and the Humber,0
E10000023,North Yorkshire,14.65,5.779508185184337,5.6192044981809035,5.742778803662883,5.70694413799378,5.691912302085713,5.253633758921397,5.339891078457965,5.385091215330075,5.392080896360199,5.4785534168509695,5.426974398756299,5.505128263241349,5.414321042304342,5.469746482175568,5.355642433167306,5.38357721049886,5.535679355099802,5.429740287908455,Yorkshire and the Humber,0
E08000018,Rotherham,28.28,5.9288708003369095,5.923934890314382,5.968681984210738,5.93877554232756,5.799183559419454,5.7725619900510265,5.671431444438541,5.576895624750347,5.55338585064662,6.095599311839989,5.945420608606575,5.7893177627624635,5.799698531486028,6.030685260261263,5.977112040883582,6.134482053942907,6.304448802421981,6.175097743326733,Yorkshire and the Humber,0
E08000019,Sheffield,27.57,6.555598683344872,6.051665549798739,6.148404191298887,5.8503904942922915,5.71042701737487,5.658819975621094,5.5475574225835205,5.597643878594534,5.643147436118846,5.8239330757866625,5.661674931950632,5.83009201906441,5.879135362134062,5.85392513308592,5.887491956725004,5.9156628336917,5.746267086262356,5.7595324897606925,Yorkshire and the Humber,0
E08000036,Wakefield,26.89,6.304320823483483,6.046733677375123,5.984137771721521,5.95739056677423,5.936797145765674,5.692451858313817,5.511814540810441,5.302010538385654,5.360211770085627,5.945682354452854,6.093524622299129,6.222199212868005,6.294896929650995,5.925057614910384,5.787510690186913,5.806339062981293,6.140767782752969,6.086069933148976,Yorkshire and the Humber,0
E06000014,York,12.22,5.588895242111843,5.974598104998081,5.945054049285319,5.87493073085203,5.822009856020851,5.784993730081024,5.678088527564397,5.568306335093752,5.549465114271844,5.875492370855561,5.897346156840294,5.816605079545157,5.853638230200579,5.642261618007951,5.593595515621446,5.8289456176102075,5.946702509133986,5.875716938563668,Yorkshire and the Humber,0
E06000015,Derby,27.79,6.364699120406897,5.692586701895467,5.654487182931324,5.51229907606986,5.527522509240842,5.457114378295034,5.477216406540661,5.433678334478489,5.519619222982875,6.14010004624713,6.021702730168592,5.929961414513932,6.097399897516651,6.037632227952989,5.986200717432883,6.13469871519389,6.163904104047486,6.18994648535133,East Midlands,0
E10000007,Derbyshire,18.52,6.0626450240403456,5.86595801186826,5.731203070232193,5.63042294030174,5.471724305952417,5.320029933453687,5.191010513559528,5.064049670730892,5.012433676037635,5.60285655606624,5.731916313899973,5.643076599538806,5.670570340450087,5.7120812774708964,5.761422254102616,5.8185981490847825,5.871018594032095,5.917010361183034,East Midlands,0
E06000016,Leicester,33.06,6.381071239281688,6.032510516543983,6.078742555215043,5.8599881843195964,5.688262662998164,5.578597109233056,5.570708120430859,5.494788346446411,5.191233143938362,6.032126528826872,5.808232576012665,5.8348692148849075,5.493061443340548,5.612397912854348,5.7751724707428735,5.60138054103812,5.72296399407213,5.4581376579954775,East Midlands,0
E10000018,Leicestershire,12.46,5.459713165570837,5.191400084201959,4.870606649492553,5.352758202226283,5.344819200199456,5.429740287908455,5.23638876992587,5.249809662482993,5.255148871146658,6.026348948961484,5.856331873116486,5.580408840686573,5.921042082811436,5.028475212224587,5.117993812416755,5.403127730900382,5.035327906686628,5.34185566856252,East Midlands,0
E10000019,Lincolnshire,20.61,5.939723784200272,5.8287397140605846,5.8492094995271104,5.709565719411929,5.87330018875734,5.727303669697547,5.632537068115956,5.626649418726377,5.580144834198022,5.490589254195159,5.480263853011908,5.482470578170961,5.580861261143694,5.5801071132949795,5.406723240391823,5.699774453258662,5.474075766200316,5.497823748096092,East Midlands,0
E10000021,Northamptonshire,18.94,5.740467925464054,5.243597154347804,5.471766344838393,5.917468107195847,5.865901324132636,5.169858799644233,4.854449210906927,4.335851797553269,3.894673367093033,6.008567455007644,6.262788552946945,5.940539605922692,5.702448251643064,5.5610661724546055,5.82923969201315,5.730748922886015,5.77861161527685,5.619240772779619,East Midlands,0
E06000018,Nottingham,36.93,6.4793694874894046,6.120670975543624,6.107423698275577,6.110136076825481,6.024318883978929,5.408247425920233,5.5737117536606595,5.436077306252522,5.4492342518648975,5.671603576291966,5.869974649520272,6.035959786994534,6.296003736626186,6.258816353086512,6.3048143663083405,6.178980920779041,6.096319935210363,6.1531581361059695,East Midlands,0
E10000024,Nottinghamshire,18.85,5.885298151260371,5.82346001090882,5.762585831132179,6.26862268672843,6.140530895025876,5.7254134947824955,5.468903667123571,5.448201816085329,5.490795503551361,6.017863020962513,6.075575889726634,6.173452715000699,6.085865222529466,5.449320240084564,5.598421958998375,5.572914199451162,5.60554468023387,5.645199517223904,East Midlands,0
E06000017,Rutland,9.62,5.4266226267009605,5.54494304200945,5.510076358995608,5.668258918587155,5.5454508446023425,5.471135575910181,5.610679856393877,5.623259095923283,5.555166450327418,5.280153395920365,5.589119566336061,5.75526741734471,5.7698822763607245,5.697093486505405,5.820082930352362,5.737861788309064,5.699707516614171,5.676925020486318,East Midlands,0
E08000025,Birmingham,37.77,6.064529117964987,5.814697535227356,5.734085336586247,5.629058928460265,5.9089249748608585,5.560797008974619,5.488607092991169,5.257964012198821,5.25028191750948,5.66711849028461,5.37592634587502,6.0230358859453,5.799092654460526,5.837147186723625,5.769570215194204,5.6842598081673374,5.744316427696492,5.672842051749564,West Midlands,0
E08000026,Coventry,28.11,5.961056884686556,5.960309221100326,5.8100325944988604,5.4308357462481816,5.479471575589985,5.451210112651179,5.351336670523673,5.2878123819028895,5.122295922302562,5.97736562272848,5.9290038657653765,6.071407249781185,6.456926629122442,6.324179734851483,6.177736623646287,6.147399348728742,6.136019333261793,6.030036011083082,West Midlands,0
E08000027,Dudley,22.96,6.113040381003062,5.795175903085411,5.76916439003684,5.631856735084612,5.425434481607502,5.282746771557079,5.26413991474645,5.15490878325268,5.092153835268511,6.038586654176717,5.953061499575036,6.096815062715808,6.185385239745289,6.1349153295129435,6.193792958708272,5.925591802957274,5.977771219975979,5.965274564017741,West Midlands,0
E06000019,Herefordshire,19.74,6.931999010352602,5.6082989464945845,5.271459912378154,5.135151168793823,5.08425743396687,5.064176061024286,5.016418538851983,4.740312779930385,4.774490930604794,5.492649836008127,5.75447558897172,5.936348164549315,5.844123959209273,5.896604266084022,6.126869184114185,5.720311776607412,5.902524037811334,5.492732171029375,West Midlands,0
E08000028,Sandwell,34.61,6.105395729448619,5.82428772764048,5.711882910690069,5.855873892801633,5.850044981634453,5.690291884473702,5.654557215846823,5.505168921085269,5.240158452374504,6.0586557966483054,5.850246545192444,5.72697803225939,5.565286397402276,5.432848259505643,5.701780471985528,5.74652262833236,6.112641815832381,6.160173031727305,West Midlands,0
E06000051,Shropshire,16.69,5.665041646339771,5.557754273559516,5.326516020906715,5.469662232628359,5.186100063426998,5.1867710918031245,4.850935915338581,4.566533302373173,4.371092069621102,5.735604086979157,5.73175425773095,5.496594290132118,5.352805551832106,5.612763076269032,5.608372289851543,5.292802185859927,5.309306761347639,5.582405488489601,West Midlands,0
E08000029,Solihull,17.24,5.86533426996377,5.803416625940581,5.575532349649974,5.472312689595516,5.404432597336738,5.208994228587835,5.1733775319921875,5.164614530656529,5.100902476306427,5.823045895483019,5.9177103585193205,5.87493073085203,6.014204034077471,5.693395381769714,5.640842674882327,5.718014056902925,5.773774846476236,5.737023808436003,West Midlands,0
E10000028,Staffordshire,16.38,5.737088293362674,5.541812414110144,5.339459309879212,5.210360087788895,5.180490579934594,5.021970803760001,4.8663029232063355,4.771785712960429,4.530015512387331,5.8916442118257715,5.895339035010599,5.659098867029561,5.96512057176838,5.797879798035317,5.8400600929487485,5.771441123130016,5.879387078702536,5.810841546949609,West Midlands,0
E06000021,Stoke-on-Trent,34.36,6.52417885613161,6.019420123121313,5.667014750463987,5.653646405162403,5.599421459331459,5.46649773978696,5.501462271355557,5.2524828302042375,5.3353240921771325,6.26966430417027,6.223369604090764,6.338258332801066,6.422597401964724,6.508471029949054,6.389233448581676,6.495114487124877,6.325702145927779,6.389972174648648,West Midlands,0
E06000020,Telford and Wrekin,24.85,5.9287643352440504,6.025503589331405,5.878967515880836,5.719262045504587,5.634861029189779,5.5596426299022985,5.473236593575229,5.37091705896238,5.228752903162127,5.729450221404779,5.830003880981357,5.82346001090882,5.88638177065483,5.652839995918626,5.775482788821392,5.955837369464831,5.83930355320888,5.974216653698429,West Midlands,0
E08000030,Walsall,30.37,6.271574271562859,6.154327167537262,6.004578186253365,5.891340298245402,5.692148393757833,5.5821796528969525,5.166213525914699,5.105884866003353,4.882119871860828,6.005120873555468,5.968707559985366,6.049120059596144,6.093795478205444,5.883600901232037,6.013470627370596,5.970496240671785,6.001291107925717,6.08847782127798,West Midlands,0
E10000031,Warwickshire,15.01,5.604477660245591,5.568764262978113,5.506062975682149,5.2838634095778865,5.2249937021291935,5.216022123821206,5.064618301294311,5.2906883393835455,5.231375960794155,5.659133722987319,5.651752066561817,5.729840008975491,5.823045895483019,5.82363743646448,5.647564794657972,5.8009091853869235,5.829357297564267,5.821921002673243,West Midlands,0
E08000031,Wolverhampton,33.18,6.144593276350152,6.155027930973348,5.8825142625995985,5.921417548795947,5.819637727406669,5.741303025403381,5.619313318029751,5.817884670250782,5.65686555486845,5.883043798153562,5.788460576118825,5.8690991534676265,5.987205490187598,6.19154415882364,5.997695096858618,6.233037233890559,6.073436162473127,5.86510735823146,West Midlands,0
E10000034,Worcestershire,17.7,5.676137173835876,5.404117785434249,5.476630901944453,5.4040728042139,5.4449685668737295,5.317678720026657,5.105884866003353,4.92790564649726,4.949114437448006,5.454038241544812,5.558949362273238,5.616516519809833,5.779817160932199,5.8377304471659395,5.789348362985848,5.859360706474645,5.6683625294249405,5.719097925433975,West Midlands,0
E06000055,Bedford,19.24,6.156978985585555,5.957571616084798,5.681502781965119,5.717915465122114,5.595491744183162,5.332187251055652,5.2575474540048255,5.265639204157455,5.246076254702346,5.8377304471659395,5.893217559100934,5.869409901100676,5.918356075287344,5.944896911291647,5.838313367613807,5.90454407507728,5.976731547505917,5.6796946791271115,East of England,0
E06000056,Central Bedfordshire,12.2,5.798789578234536,5.835775184114698,5.450695046968919,5.188837265929216,5.094792602102979,5.297316866214453,5.189004606607336,5.227304599301617,5.009834973925487,5.526249434594043,5.569908166099873,5.663515881427646,5.58799744166249,5.548686904115838,5.539693686123306,5.3981627015177525,5.39666837289499,5.398479393447017,East of England,0
